full_name,Selling_Price,Year,Seller_Type,km_driven,Owner _Type,Fuel_Type,Transmission_type,Mileage(Km/L),Engine(CC),max_power(bHP),,,,,
Mahindra Ssangyong Rexton RX7,8,2013,Individual,160000,1st  ,Diesel,Automatic,11.18,2696,184,,,,,
Toyota Yaris J Optional CVT BSIV,10.42,2019,Dealer,19000,1st  ,Petrol,Automatic,17.8,1496,106,,,,,
Volkswagen CrossPolo 1.5 TDI,5.5,2014,Dealer,56000,1st  ,Diesel,Manual,20.14,1498,89,,,,,
Maruti Alto K10 2010-2014 VXI,2.3,2011,Individual,50000,1st  ,Petrol,Manual,20.92,998,67,,,,,
Renault KWID 1.0 RXT Optional,3.7,2018,Dealer,29000,1st  ,Petrol,Manual,23.01,999,67,,,,,
Volkswagen Polo Diesel Highline 1.2L,4.15,2013,Dealer,113566,1st  ,Diesel,Manual,22.07,1199,74,,,,,
Honda City i-DTEC SV,10.8,2019,Dealer,12000,1st  ,Diesel,Manual,25.6,1498,98,,,,,
Toyota Fortuner 2016-2021 2.8 2WD AT BSIV,34,2018,Dealer,9000,1st  ,Diesel,Automatic,12.9,2755,175,,,,,
Maruti Wagon R VXI,3.75,2015,Dealer,38700,1st  ,Petrol,Manual,18.9,998,67,,,,,
Volkswagen Polo Diesel Comfortline 1.2L,3.85,2012,Dealer,92000,1st  ,Diesel,Manual,22.07,1199,74,,,,,
Tata Nexon 1.2 Revotron XZ Plus,9.2,2019,Individual,10700,1st  ,Petrol,Manual,17,1198,109,,,,,
Honda City i VTEC SV,6.75,2015,Dealer,84000,1st  ,Petrol,Manual,17.4,1497,117,,,,,
Tata Indigo LX (TDI) BS III,1.23,2008,Individual,110000,1st  ,Diesel,Manual,19.09,1396,69,,,,,
Maruti Eeco 7 Seater Standard BSIV,2.9,2012,Dealer,72422,1st  ,Petrol,Manual,15.37,1196,73,,,,,
Toyota Innova 2.5 VX (Diesel) 8 Seater,8,2013,Individual,126000,1st  ,Diesel,Manual,12.99,2494,100,,,,,
Mahindra XUV500 W11 Option AWD,16,2018,Individual,23000,1st  ,Diesel,Manual,15.1,2179,155,,,,,
Maruti Alto LXi,1,2007,Dealer,60235,1st  ,Petrol,Manual,19.7,796,46,,,,,
Maruti Zen Estilo LXI BS IV,2.4,2011,Dealer,60069,1st  ,Petrol,Manual,19,998,67,,,,,
Hyundai Terracan CRDi,2.85,2004,Dealer,84000,1st  ,Diesel,Manual,0,2902,null,,,,,
Honda New Accord 2008-2011 2.4 Inspire A/T,4.6,2009,Dealer,77000,1st  ,Petrol,Automatic,9.8,2354,180,,,,,
Maruti Swift Dzire LDi,2.8,2010,Individual,110000,1st  ,Diesel,Manual,19.3,1248,74,,,,,
Toyota Innova 2.5 G4 Diesel 7-seater,5.6,2011,Dealer,76325,1st  ,Diesel,Manual,12.8,2494,102,,,,,
Maruti Swift 1.3 VXi,2.3,2010,Individual,110000,1st  ,Petrol,Manual,16.1,,,,,,,
Hyundai i10 Era,2.9,2012,Dealer,32000,1st  ,Petrol,Manual,19.81,1086,68,,,,,
Maruti Vitara Brezza VDi,8.25,2018,Dealer,105000,1st  ,Diesel,Manual,24.3,1248,89,,,,,
Chevrolet Spark 1.0 PS LPG,1.5,2011,Dealer,52000,1st  ,LPG,Manual,16,995,60,,,,,
Skoda Octavia Elegance 2.0 TDI AT,13.99,2015,Dealer,99000,1st  ,Diesel,Automatic,19.3,1968,141,,,,,
Maruti Wagon R LXI,2.19,2009,Dealer,48001,1st  ,Petrol,Manual,18.9,998,67,,,,,
Hyundai Grand i10 1.2 CRDi Magna,4.25,2017,Individual,50000,1st  ,Diesel,Manual,24,1186,74,,,,,
Audi A6 35 TDI Technology,33,2016,Dealer,16000,1st  ,Diesel,Automatic,17.68,1968,174,,,,,
Tata Nexon 1.5 Revotorq XZ Plus,9,2017,Individual,35000,1st  ,Diesel,Manual,21.5,1497,109,,,,,
Hyundai i20 Sportz 1.2,5.85,2016,Individual,50000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Hyundai i20 Asta 1.4 CRDi,6.1,2016,Individual,70000,1st  ,Diesel,Manual,22.54,1396,89,,,,,
null,null,,null,null,null,null,null,,,,,,,,
Mercedes-Benz M-Class ML 250 CDI,24,2014,Individual,135000,1st  ,Diesel,Automatic,15.26,2143,203,,,,,
Hyundai EON D Lite,2.15,2013,Dealer,76000,1st  ,Petrol,Manual,21.1,814,55,,,,,
Maruti Wagon R LX Minor,2.5,2013,Individual,35000,1st  ,Petrol,Manual,18.9,998,67,,,,,
Honda Jazz 1.2 E i VTEC,4.95,2015,Dealer,40569,1st  ,Petrol,Manual,18.7,1199,89,,,,,
Tata Indica Vista Quadrajet LS,1.8,2013,Individual,110000,1st  ,Diesel,Manual,22.3,1248,74,,,,,
Mahindra Scorpio S3 9 Seater BSIV,8,2019,Individual,90000,1st  ,Diesel,Manual,15.4,2523,75,,,,,
Hyundai Creta 1.6 CRDi AT SX Plus,10.5,2016,Individual,110000,1st  ,Diesel,Automatic,17.01,1582,126,,,,,
Maruti Baleno Alpha 1.3,7.3,2017,Dealer,60881,1st  ,Diesel,Manual,27.39,1248,74,,,,,
Renault KWID 1.0 RXT 02 Anniversary Edition,3.1,2016,Dealer,32736,1st  ,Petrol,Manual,23.01,999,67,,,,,
Maruti Swift 1.3 VXI ABS,3.1,2010,Dealer,75000,1st  ,Petrol,Manual,16.1,,,,,,,
Skoda Rapid 1.6 TDI Ambition,2.95,2012,Dealer,72500,1st  ,Diesel,Manual,20.5,1598,104,,,,,
Maruti Swift VDI,4,2013,Individual,275000,1st  ,Diesel,Manual,22.9,1248,74,,,,,
Honda City i VTEC SV,6.75,2014,Trustmark Dealer,35001,1st  ,Petrol,Manual,17.4,1497,117,,,,,
Maruti Eeco 5 Seater AC BSIV,3.5,2016,Individual,15000,1st  ,Petrol,Manual,15.37,1196,73,,,,,
Maruti Eeco 7 Seater Standard BSIV,3.6,2018,Individual,59000,1st  ,Petrol,Manual,15.37,1196,73,,,,,
Hyundai Grand i10 CRDi Sportz,3,2014,Dealer,151315,1st  ,Diesel,Manual,24,1120,70,,,,,
Maruti Vitara Brezza ZDi,8.41,2017,Dealer,61000,1st  ,Diesel,Manual,24.3,1248,89,,,,,
Audi A4 2.0 TDI Multitronic,15,2011,Dealer,38000,1st  ,Diesel,Automatic,16.55,1968,140,,,,,
Hyundai i10 Magna,1.5,2008,Individual,80000,1st  ,Petrol,Manual,20.36,1197,79,,,,,
Hyundai i10 Sportz 1.2,3.75,2010,Dealer,56000,1st  ,Petrol,Manual,20.36,1197,79,,,,,
Renault KWID Climber 1.0 MT,3.5,2017,Individual,60000,1st  ,Petrol,Manual,23.01,999,67,,,,,
Maruti Alto 800 LXI,1.8,2013,Individual,180000,1st  ,Petrol,Manual,22.74,796,47,,,,,
Hyundai i20 1.2 Asta,3.85,2010,Dealer,49011,1st  ,Petrol,Manual,17,1197,80,,,,,
Mahindra TUV 300 T8,8.8,2018,Individual,80000,1st  ,Diesel,Manual,18.49,1493,100,,,,,
Ford Figo Diesel EXI,4.5,2014,Dealer,48000,1st  ,Diesel,Manual,20,1399,68,,,,,
Maruti Swift VDI,3.9,2012,Dealer,68000,1st  ,Diesel,Manual,22.9,1248,74,,,,,
Maruti Ritz LDi,5,2016,Individual,70000,1st  ,Diesel,Manual,23.2,1248,74,,,,,
Maruti Alto 800 LXI,2.5,2015,Dealer,105610,1st  ,Petrol,Manual,22.74,796,47,,,,,
Mahindra Bolero Power Plus SLE,6.5,2017,Individual,70000,1st  ,Diesel,Manual,16.5,1493,70,,,,,
Maruti Wagon R LXI Minor,1.78,2009,Dealer,113343,1st  ,Petrol,Manual,18.9,1061,67,,,,,
BMW 3 Series 320d Highline,8.5,2009,Dealer,64495,1st  ,Diesel,Automatic,16.07,1995,181,,,,,
Ford Fiesta 1.4 SXi TDCi,2.65,2010,Dealer,95000,1st  ,Diesel,Manual,17.8,1399,null,,,,,
Renault Fluence Diesel E4,4.5,2013,Dealer,50001,1st  ,Diesel,Manual,21.8,1461,78,,,,,
Maruti Celerio VXI AT,3.35,2014,Dealer,49000,1st  ,Petrol,Automatic,23.1,998,67,,,,,
Hyundai i20 1.2 Asta,6.45,2016,Trustmark Dealer,63669,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Mahindra Bolero SLX,3.5,2010,Individual,199900,1st  ,Diesel,Manual,13.6,2523,63,,,,,
Tata Indigo LX (TDI) BS-III,2.5,2015,Individual,120000,1st  ,Diesel,Manual,19.09,1405,69,,,,,
Toyota Innova VX CNG,10.8,2011,Dealer,103000,1st  ,CNG,Manual,12.4,1998,132,,,,,
Honda Brio S MT,3.2,2013,Individual,60000,1st  ,Petrol,Manual,19.4,1198,87,,,,,
null,null,,null,null,null,null,null,,,,,,,,
Mahindra Thar CRDe AC,8.75,2017,Dealer,38860,1st  ,Diesel,Manual,16.55,2498,105,,,,,
Hyundai i20 1.2 Asta,7.75,2018,Dealer,8000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Maruti Swift Dzire AMT VXI,7.25,2018,Individual,6500,1st  ,Petrol,Automatic,21.21,1197,82,,,,,
Hyundai Grand i10 Magna,3,2014,Individual,90000,1st  ,Petrol,Manual,18.9,1197,82,,,,,
Honda Amaze E Diesel,5.4,2018,Dealer,68000,1st  ,Diesel,Manual,24.7,1498,99,,,,,
Ford Figo 1.2P Titanium Plus MT,5.25,2019,Individual,31000,1st  ,Petrol,Manual,18.16,1196,87,,,,,
Honda Jazz VX,5.65,2016,Dealer,84000,1st  ,Petrol,Manual,18.2,1199,89,,,,,
Tata Zest Revotron 1.2T XMS,4.5,2015,Individual,40000,1st  ,Petrol,Manual,17.57,1193,89,,,,,
Maruti Swift Dzire VDi,7.25,2017,Dealer,60852,1st  ,Diesel,Manual,19.3,1248,74,,,,,
Hyundai Verna 1.6 CRDi EX MT,4.5,2012,Dealer,76800,1st  ,Diesel,Manual,22.32,1582,126,,,,,
Hyundai Grand i10 Asta,5.12,2015,Dealer,29751,1st  ,Petrol,Manual,18.9,1197,82,,,,,
Maruti Wagon R VXI,4.5,2019,Individual,40000,1st  ,Petrol,Manual,21.79,998,67,,,,,
Mini Cooper Hatch,20,2014,Dealer,21800,1st  ,Petrol,Automatic,15.6,1598,121,,,,,
Hyundai Creta 1.4 CRDi S Plus,10.25,2017,Dealer,48001,1st  ,Diesel,Manual,21.38,1396,89,,,,,
Maruti Swift ZDI BSIV,5.45,2017,Individual,55000,1st  ,Diesel,Manual,25.2,1248,74,,,,,
Ford Figo Diesel Titanium,2.75,2010,Dealer,68176,1st  ,Diesel,Manual,20,1399,68,,,,,
Maruti S-Presso VXI Plus,4.5,2020,Individual,2000,1st  ,Petrol,Manual,21.7,998,67,,,,,
Nissan Kicks XV Premium Option D Dual Tone,12,2019,Individual,40000,1st  ,Diesel,Manual,19.39,1461,108,,,,,
Hyundai i20 Sportz Option 1.2,5,2016,Individual,40000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Ford Figo Diesel Titanium,2.8,2010,Dealer,51060,1st  ,Diesel,Manual,20,1399,68,,,,,
Hyundai Creta 1.6 CRDi SX,11,2018,Individual,20000,1st  ,Diesel,Manual,19.67,1582,126,,,,,
Renault Duster 110PS Diesel RxZ,6.25,2015,Individual,159000,1st  ,Diesel,Manual,19.01,1461,108,,,,,
Maruti Ertiga ZXI AT Petrol,9.75,2019,Dealer,32000,1st  ,Petrol,Automatic,18.69,1462,103,,,,,
Maruti Wagon R VXI,4,2016,Individual,10000,1st  ,Petrol,Manual,20.51,998,67,,,,,
Jeep Compass 2.0 Longitude BSIV,15,2017,Individual,54000,1st  ,Diesel,Manual,17.1,1956,170,,,,,
Hyundai Grand i10 CRDi Sportz,3.8,2015,Individual,110000,1st  ,Diesel,Manual,24,1120,70,,,,,
Hyundai Verna 1.6 SX VTVT,9.9,2018,Dealer,37000,1st  ,Petrol,Manual,17.01,1591,121,,,,,
Renault KWID 1.0 RXT Optional,2.6,2016,Dealer,54701,1st  ,Petrol,Manual,23.01,999,67,,,,,
Maruti Alto LXi,1.35,2010,Individual,70000,1st  ,Petrol,Manual,19.7,796,46,,,,,
Tata Zest Revotron 1.2 XT,4,2017,Individual,40000,1st  ,Petrol,Manual,17.57,1193,89,,,,,
Mahindra XUV500 W8 2WD,6,2012,Individual,87500,1st  ,Diesel,Manual,15.1,2179,140,,,,,
Maruti Swift Dzire AMT ZDI Plus,8,2018,Individual,70000,1st  ,Diesel,Automatic,28.4,1248,74,,,,,
Renault Duster 110PS Diesel RxZ Pack,5.5,2014,Individual,49000,1st  ,Diesel,Manual,19.01,1461,108,,,,,
Honda WR-V i-DTEC VX,7.6,2017,Individual,70000,1st  ,Diesel,Manual,25.5,1498,99,,,,,
Hyundai i20 Sportz Diesel,3.99,2011,Dealer,111000,1st  ,Diesel,Manual,23,1396,90,,,,,
Hyundai EON 1.0 Era Plus,1.9,2012,Dealer,80000,1st  ,Petrol,Manual,20.3,998,68,,,,,
Maruti Ritz LDi,3.25,2015,Dealer,72980,1st  ,Diesel,Manual,23.2,1248,74,,,,,
Hyundai i20 Magna,3,2009,Dealer,11638,1st  ,Petrol,Manual,20.35,1197,82,,,,,
Maruti Wagon R VXI 1.2,5,2019,Dealer,9605,1st  ,Petrol,Manual,20.52,1197,82,,,,,
Renault KWID 1.0 RXT Optional,3.45,2016,Dealer,58000,1st  ,Petrol,Manual,23.01,999,67,,,,,
Mahindra KUV100 NXT G80 K2 Plus,4.5,2018,Individual,22000,1st  ,Petrol,Manual,18.15,1198,82,,,,,
Mahindra Marazzo M2,9.5,2020,Individual,20000,1st  ,Diesel,Manual,17.3,1497,121,,,,,
Hyundai Creta 1.4 E Plus,9.98,2018,Individual,70000,1st  ,Diesel,Manual,22.1,1396,89,,,,,
Maruti Baleno Alpha CVT,8.9,2020,Individual,30000,1st  ,Petrol,Automatic,19.56,1197,82,,,,,
Audi Q3 35 TDI Quattro Technology,29.9,2019,Dealer,23000,1st  ,Diesel,Automatic,15.17,1968,181,,,,,
Honda Brio S MT,4.1,2015,Individual,60000,1st  ,Petrol,Manual,19.4,1198,87,,,,,
Volkswagen Polo 1.2 MPI Trendline,3.5,2016,Individual,146000,1st  ,Petrol,Manual,18.78,1198,74,,,,,
Ford Figo 1.5 Sports Edition MT,5.8,2017,Individual,40000,1st  ,Diesel,Manual,24.29,1498,99,,,,,
Hyundai Grand i10 Asta Option,5.5,2016,Individual,30000,1st  ,Petrol,Manual,18.9,1197,82,,,,,
Toyota Yaris VX CVT BSIV,13,2018,Individual,30000,1st  ,Petrol,Automatic,17.8,1496,106,,,,,
Hyundai Verna VTVT 1.6 AT SX Option,10.9,2017,Dealer,28000,1st  ,Petrol,Automatic,17,1591,121,,,,,
Maruti Zen Estilo LXI BSIII,1.25,2007,Dealer,75000,1st  ,Petrol,Manual,18.2,998,67,,,,,
Ford Fiesta 1.6 SXI Duratec,2.1,2006,Dealer,92300,1st  ,Petrol,Manual,15.3,1596,null,,,,,
BMW 3 Series 320d Sedan,8.95,2011,Dealer,90000,1st  ,Diesel,Automatic,16.07,1995,181,,,,,
Mahindra Bolero DI,2.5,2007,Individual,110000,1st  ,Diesel,Manual,13.6,2523,63,,,,,
Ford Ecosport 2015-2021 1.5 Ti VCT AT Titanium BSIV,7.5,2015,Dealer,27000,1st  ,Petrol,Automatic,15.63,1499,110,,,,,
Honda Amaze S i-Vtech,4.5,2015,Individual,40000,1st  ,Petrol,Manual,18,1198,87,,,,,
Maruti Swift Dzire VDi,3.1,2010,Individual,60000,1st  ,Diesel,Manual,19.3,1248,74,,,,,
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,9.25,2018,Individual,50000,1st  ,Diesel,Manual,25.1,1248,89,,,,,
Hyundai i20 Magna 1.2,5.4,2015,Dealer,27452,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Mahindra Bolero 2011-2019 SLX 2WD BSIII,5.21,2013,Individual,75000,1st  ,Diesel,Manual,15.96,2523,62,,,,,
Chevrolet Sail Hatchback LS ABS,2.5,2012,Individual,50000,1st  ,Diesel,Manual,22.1,1248,77,,,,,
Maruti Alto 800 LXI,3.1,2015,Dealer,18604,1st  ,Petrol,Manual,22.74,796,47,,,,,
Maruti Vitara Brezza VDi Option,8.55,2018,Dealer,48000,1st  ,Diesel,Manual,24.3,1248,89,,,,,
Mahindra Thar DI 4X4,7.25,2015,Dealer,36000,1st  ,Diesel,Manual,18.06,2523,63,,,,,
Maruti Swift VXI,5.5,2015,Dealer,87020,1st  ,Petrol,Manual,21.21,1197,82,,,,,
Volkswagen Ameo 1.5 TDI Highline Plus,8,2019,Individual,40000,1st  ,Diesel,Manual,21.66,1498,109,,,,,
Mahindra Scorpio VLS AT 2.2 mHAWK,5,2010,Individual,95000,1st  ,Diesel,Automatic,11.79,2179,120,,,,,
Toyota Innova 2.5 G (Diesel) 7 Seater,7,2013,Individual,170000,1st  ,Diesel,Manual,12.99,2494,101,,,,,
Maruti Alto K10 2010-2014 VXI,2.45,2012,Dealer,32103,1st  ,Petrol,Manual,20.92,998,67,,,,,
Hyundai i20 1.2 Sportz Option,3.5,2010,Individual,72240,1st  ,Petrol,Manual,17,1197,80,,,,,
Maruti SX4 S Cross DDiS 200 Zeta,7,2015,Individual,90000,1st  ,Diesel,Manual,23.65,1248,89,,,,,
Hyundai i10 Magna 1.2 iTech SE,2.85,2011,Dealer,66000,1st  ,Petrol,Manual,20.36,1197,79,,,,,
Ford Aspire 1.5 TDCi Titanium,5.3,2017,Individual,90000,1st  ,Diesel,Manual,25.83,1498,99,,,,,
Maruti Swift Dzire ZDi,4.89,2013,Dealer,82000,1st  ,Diesel,Manual,19.3,1248,74,,,,,
Renault Duster 110PS Diesel RxL,6.5,2016,Individual,123000,1st  ,Diesel,Manual,19.64,1461,108,,,,,
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,4.99,2014,Dealer,75000,1st  ,Diesel,Manual,22.54,1396,89,,,,,
Volkswagen Polo Petrol Comfortline 1.2L,3.11,2012,Dealer,72000,1st  ,Petrol,Manual,16.47,1198,74,,,,,
Hyundai i10 Sportz AT,3.5,2010,Dealer,50000,1st  ,Petrol,Automatic,16.95,1197,79,,,,,
Toyota Fortuner 2016-2021 2.8 4WD AT BSIV,33,2017,Individual,30000,1st  ,Diesel,Automatic,15.04,2755,175,,,,,
Audi A4 New  2.0 TDI Multitronic,15,2013,Dealer,55500,1st  ,Diesel,Automatic,15.2,1968,141,,,,,
Toyota Innova Crysta 2016-2020 2.4 VX MT 8S BSIV,16,2016,Individual,100000,1st  ,Diesel,Manual,13.68,2393,148,,,,,
Maruti Swift Dzire AMT ZDI,7.85,2017,Dealer,32000,1st  ,Diesel,Automatic,28.4,1248,74,,,,,
Toyota Corolla H3,3.2,2008,Dealer,83000,1st  ,Petrol,Automatic,11.3,1794,125,,,,,
Ford Classic 1.6 Duratec CLXI,3.25,2015,Dealer,71845,1st  ,Petrol,Manual,14.09,1596,100,,,,,
Maruti Swift Dzire AMT ZXI Plus,7.5,2018,Dealer,18000,1st  ,Petrol,Automatic,21.21,1197,82,,,,,
Maruti Eeco 7 Seater Standard BSIV,3.5,2016,Individual,15000,1st  ,Petrol,Manual,15.37,1196,73,,,,,
Toyota Etios GD,6,2013,Individual,24500,1st  ,Diesel,Manual,23.59,1364,67,,,,,
Hyundai i20 Sportz 1.2,4.6,2014,Individual,40000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Honda BR-V Style Edition V CVT,9.8,2017,Dealer,30481,1st  ,Petrol,Automatic,16,1497,117,,,,,
Hyundai i20 1.2 Era,6.35,2019,Dealer,11972,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Mahindra Scorpio VLX 2WD AT BSIII,4.5,2012,Individual,212000,1st  ,Diesel,Automatic,11.79,2179,120,,,,,
Nissan Terrano XV 110 PS,4.45,2013,Dealer,91850,1st  ,Diesel,Manual,19.01,1461,109,,,,,
Maruti Swift Dzire LDI Optional,6.51,2017,Dealer,56000,1st  ,Diesel,Manual,26.59,1248,74,,,,,
Volkswagen Ameo 1.5 TDI Comfortline AT,7.75,2017,Dealer,31000,1st  ,Diesel,Automatic,22,1498,108,,,,,
Hyundai Grand i10 CRDi Asta Option,3.95,2014,Dealer,95094,1st  ,Diesel,Manual,24,1120,70,,,,,
Maruti Swift VDI,3.4,2010,Dealer,74000,1st  ,Diesel,Manual,28.4,1248,74,,,,,
Maruti Swift Dzire VDI,3.5,2017,Individual,48300,1st  ,Diesel,Manual,28.4,1248,74,,,,,
Mahindra TUV 300 T8,7.5,2017,Individual,72000,1st  ,Diesel,Manual,18.49,1493,100,,,,,
Mahindra Bolero SLX 2WD BSIII,3.3,2011,Individual,95000,1st  ,Diesel,Manual,13.6,2523,63,,,,,
Renault Duster 85PS Diesel RxE,8,2015,Individual,30000,1st  ,Diesel,Manual,20.45,1461,84,,,,,
Maruti Eeco 5 Seater AC BSIV,3.7,2019,Individual,25000,1st  ,Petrol,Manual,15.37,1196,73,,,,,
Nissan Micra Diesel XV,2.4,2011,Dealer,110000,1st  ,Diesel,Manual,23.08,1461,63,,,,,
Renault Lodgy 85PS RxZ,7.6,2016,Dealer,19000,1st  ,Diesel,Manual,21.04,1461,84,,,,,
Maruti Swift Dzire VXI,4,2013,Individual,105000,1st  ,Petrol,Manual,19.1,1197,86,,,,,
Ford Figo Diesel LXI,2.8,2012,Individual,90000,1st  ,Diesel,Manual,20,1399,68,,,,,
Volkswagen Vento 1.5 TDI Highline,5.5,2015,Dealer,50000,1st  ,Diesel,Manual,22.27,1498,109,,,,,
Maruti Swift Dzire VDi,5.2,2013,Individual,56000,1st  ,Diesel,Manual,19.3,1248,74,,,,,
Maruti Swift Dzire LDI,5.35,2016,Individual,110000,1st  ,Diesel,Manual,26.59,1248,74,,,,,
Maruti Swift VXI Optional,4.5,2015,Individual,50000,1st  ,Petrol,Manual,20.4,1197,82,,,,,
Maruti Alto K10 VXI AGS,4.15,2016,Dealer,25000,1st  ,Petrol,Automatic,23.95,998,67,,,,,
Honda Jazz 1.2 V AT i VTEC,7.25,2016,Dealer,46858,1st  ,Petrol,Automatic,19,1199,89,,,,,
Tata Safari 2005-2017 DICOR 2.2 EX 4x4,2.65,2009,Individual,80000,1st  ,Diesel,Manual,13.93,2179,138,,,,,
Ford Ecosport 2015-2021 1.5 Ti VCT MT Trend BSIV,6,2015,Individual,67300,1st  ,Petrol,Manual,15.85,1499,110,,,,,
Hyundai Grand i10 CRDi Magna,3.48,2013,Dealer,65000,1st  ,Diesel,Manual,24,1120,70,,,,,
Hyundai EON Era Plus,3.2,2012,Dealer,35000,1st  ,Petrol,Manual,21.1,814,55,,,,,
Maruti Swift Dzire AMT VXI,7.65,2018,Dealer,48000,1st  ,Petrol,Automatic,21.21,1197,82,,,,,
Maruti Swift Dzire VDI,5.9,2014,Dealer,36658,1st  ,Diesel,Manual,23.4,1248,74,,,,,
Honda City i VTEC CVT SV,8.5,2016,Individual,14000,1st  ,Petrol,Automatic,18,1497,117,,,,,
BMW X6 xDrive 40d,29.99,2014,Dealer,118000,1st  ,Diesel,Automatic,11.2,2993,306,,,,,
Hyundai Verna CRDi SX,5.25,2012,Dealer,57400,1st  ,Diesel,Manual,16.8,1493,110,,,,,
Chevrolet Sail LS ABS,4.2,2015,Individual,10000,1st  ,Diesel,Manual,22.1,1248,74,,,,,
Maruti Swift VXI Optional,5,2016,Individual,90000,1st  ,Petrol,Manual,20.4,1197,82,,,,,
Maruti Alto 800 LXI,3,2019,Dealer,32895,1st  ,Petrol,Manual,22.05,796,47,,,,,
Honda Brio S MT,2.75,2012,Dealer,52000,1st  ,Petrol,Manual,19.4,1198,87,,,,,
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,9.25,2014,Individual,120000,1st  ,Diesel,Manual,12.99,2494,101,,,,,
Maruti Swift VDI BSIV,5,2014,Individual,16000,1st  ,Diesel,Manual,25.2,1248,74,,,,,
Maruti Swift Dzire VXi,2.6,2010,Dealer,35966,1st  ,Petrol,Manual,17.5,1298,86,,,,,
Renault Duster Adventure Edition 85PS RXL,7.5,2017,Individual,50000,1st  ,Diesel,Manual,19.87,1461,84,,,,,
Maruti SX4 Zxi BSIII,2.5,2008,Individual,70000,1st  ,Petrol,Manual,15,1586,105,,,,,
Hyundai i20 Active 1.2,6.42,2017,Dealer,27240,1st  ,Petrol,Manual,17.19,1197,82,,,,,
Maruti Alto 800 LX,2.55,2014,Dealer,45075,1st  ,Petrol,Manual,22.74,796,47,,,,,
Nissan Terrano XL Plus 85 PS,6.75,2013,Individual,60000,1st  ,Diesel,Manual,20.45,1461,84,,,,,
Renault KWID RXL,3.3,2018,Individual,7300,1st  ,Petrol,Manual,25.17,799,53,,,,,
Hyundai i20 Active 1.2 SX,5,2016,Individual,40000,1st  ,Petrol,Manual,17.19,1197,82,,,,,
Chevrolet Beat Diesel LS,1.75,2012,Individual,50000,1st  ,Diesel,Manual,25.44,936,58,,,,,
Toyota Innova 2.5 V Diesel 8-seater,11.9,2013,Dealer,150000,1st  ,Diesel,Manual,12.8,2494,102,,,,,
Honda Mobilio E i DTEC,3.5,2015,Individual,175000,1st  ,Diesel,Manual,24.2,1498,99,,,,,
Chevrolet Enjoy 1.3 TCDi LS 8,4.55,2016,Individual,120000,1st  ,Diesel,Manual,18.2,1248,74,,,,,
Volkswagen Polo Diesel Highline 1.2L,4.25,2012,Individual,70000,1st  ,Diesel,Manual,22.07,1199,74,,,,,
Tata Safari Storme EX,4.7,2013,Dealer,158000,1st  ,Diesel,Manual,14,2179,138,,,,,
Mahindra XUV500 AT W6 2WD,10.5,2016,Dealer,80000,1st  ,Diesel,Automatic,16,2179,140,,,,,
Toyota Fortuner 4x2 Manual,14,2012,Dealer,147550,1st  ,Diesel,Manual,13,2982,169,,,,,
Hyundai Getz GLE,1.5,2007,Dealer,30420,1st  ,Petrol,Manual,15.3,1341,83,,,,,
Maruti SX4 ZXI MT BSIV,2.5,2010,Individual,50000,1st  ,Petrol,Manual,15.5,1586,103,,,,,
Renault Duster 110PS Diesel RxZ Pack,5.5,2013,Individual,80000,1st  ,Diesel,Manual,19.01,1461,108,,,,,
Porsche Cayenne Diesel Platinum Edition,63,2015,Dealer,38000,1st  ,Diesel,Automatic,13.5,2967,240,,,,,
Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,15.5,2016,Individual,46000,1st  ,Diesel,Automatic,11.36,2755,172,,,,,
Maruti Alto 800 LXI,2.95,2016,Individual,15000,1st  ,Petrol,Manual,22.74,796,47,,,,,
Renault Lodgy 110PS RxZ 7 Seater,7.3,2017,Dealer,54000,1st  ,Diesel,Manual,19.98,1461,109,,,,,
Mercedes-Benz E-Class 280 CDI,11.75,2009,Dealer,107742,1st  ,Diesel,Automatic,11,2987,199,,,,,
Mahindra Scorpio S4 7 Seater,9,2017,Dealer,58446,1st  ,Diesel,Manual,15.4,2179,120,,,,,
Honda City i DTEC VX,6.45,2014,Dealer,68000,1st  ,Diesel,Manual,25.1,1498,99,,,,,
Honda BRV i-DTEC S MT,7.95,2017,Dealer,84732,1st  ,Diesel,Manual,21.9,1498,99,,,,,
Hyundai Verna 1.6 CRDi SX,8.35,2017,Dealer,41000,1st  ,Diesel,Manual,23.9,1582,126,,,,,
Datsun RediGO SV,4.25,2018,Individual,20000,1st  ,Petrol,Manual,22.7,799,54,,,,,
Mahindra Bolero 2011-2019 Plus AC BSIV PS,8.7,2019,Individual,35000,1st  ,Diesel,Manual,15.96,2523,63,,,,,
Hyundai i10 Magna,3.65,2012,Dealer,36834,1st  ,Petrol,Manual,20.36,1197,79,,,,,
